Parallel writer running on cpu 23
mean: 89.18, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.51, min: 87, 50th: 90, 90th: 91, 99th: 96, max: 98
mean: 89.22, min: 86, 50th: 89, 90th: 91, 99th: 94, max: 98
mean: 89.14, min: 86, 50th: 89, 90th: 90, 99th: 97, max: 98
mean: 89.58, min: 87, 50th: 89, 90th: 91, 99th: 98, max: 98
mean: 89.50, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 95
mean: 88.47, min: 86, 50th: 88, 90th: 89, 99th: 97, max: 97
mean: 89.29, min: 88, 50th: 89, 90th: 91, 99th: 96, max: 100
mean: 89.38, min: 86, 50th: 89, 90th: 91, 99th: 94, max: 98
mean: 88.89, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 99
mean: 88.35, min: 86, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 88.88, min: 85, 50th: 88, 90th: 91, 99th: 97, max: 97
mean: 89.03, min: 87, 50th: 89, 90th: 90, 99th: 97, max: 98
mean: 89.46, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 88.85, min: 86, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 88.75, min: 85, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 89.08, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 99
mean: 89.12, min: 87, 50th: 89, 90th: 90, 99th: 97, max: 99
mean: 89.32, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 89.46, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 106
mean: 89.14, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 98
mean: 88.72, min: 87, 50th: 88, 90th: 90, 99th: 95, max: 95
mean: 89.10, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 89.52, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 96
mean: 88.92, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 89.40, min: 88, 50th: 89, 90th: 91, 99th: 96, max: 98
mean: 89.03, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 97
mean: 89.18, min: 88, 50th: 89, 90th: 91, 99th: 96, max: 98
mean: 89.18, min: 88, 50th: 89, 90th: 90, 99th: 96, max: 98
mean: 89.10, min: 87, 50th: 89, 90th: 90, 99th: 98, max: 98
mean: 88.93, min: 86, 50th: 89, 90th: 90, 99th: 96, max: 96
mean: 89.39, min: 86, 50th: 89, 90th: 91, 99th: 95, max: 100
mean: 89.35, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 98
mean: 89.39, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 96
mean: 89.29, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 99
mean: 89.07, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 88.84, min: 86, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 89.39, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 88.42, min: 86, 50th: 88, 90th: 89, 99th: 97, max: 97
mean: 88.81, min: 87, 50th: 88, 90th: 90, 99th: 97, max: 98
mean: 89.39, min: 86, 50th: 89, 90th: 91, 99th: 95, max: 95
mean: 89.16, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 97
mean: 89.30, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 101
mean: 89.25, min: 88, 50th: 89, 90th: 91, 99th: 97, max: 99
mean: 88.95, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.33, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 88.98, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.41, min: 88, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.05, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 98
mean: 88.96, min: 88, 50th: 89, 90th: 90, 99th: 94, max: 96
mean: 89.10, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 96
mean: 88.58, min: 85, 50th: 88, 90th: 90, 99th: 96, max: 97
mean: 89.46, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 98
mean: 88.39, min: 86, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.13, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 89.02, min: 85, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.98, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.50, min: 87, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 89.17, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 89.45, min: 88, 50th: 89, 90th: 91, 99th: 98, max: 101
mean: 88.96, min: 85, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.02, min: 85, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.23, min: 88, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.46, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 98
mean: 89.51, min: 86, 50th: 90, 90th: 91, 99th: 97, max: 97
mean: 88.80, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.26, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 96
mean: 88.40, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 96
mean: 89.24, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 89.23, min: 88, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 89.14, min: 86, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 89.40, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 96
mean: 89.46, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 95
mean: 89.42, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.15, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.04, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.34, min: 88, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.01, min: 86, 50th: 89, 90th: 90, 99th: 96, max: 96
mean: 89.26, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 97
mean: 88.99, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.12, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
Finished first read loop, starting second
mean: 88.65, min: 87, 50th: 88, 90th: 90, 99th: 97, max: 98
mean: 89.30, min: 86, 50th: 89, 90th: 91, 99th: 96, max: 98
mean: 88.95, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 99
mean: 89.11, min: 87, 50th: 89, 90th: 90, 99th: 98, max: 98
mean: 89.44, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.07, min: 87, 50th: 89, 90th: 90, 99th: 97, max: 97
mean: 89.26, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 89.18, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 97
mean: 89.27, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 98
mean: 89.54, min: 87, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 89.04, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 95
mean: 89.26, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 97
mean: 88.88, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 89.41, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 94
mean: 88.39, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.54, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 97
mean: 89.14, min: 86, 50th: 89, 90th: 90, 99th: 98, max: 101
mean: 89.26, min: 88, 50th: 89, 90th: 91, 99th: 95, max: 99
mean: 89.25, min: 88, 50th: 89, 90th: 90, 99th: 96, max: 98
mean: 89.52, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 88.42, min: 86, 50th: 88, 90th: 89, 99th: 97, max: 97
mean: 89.58, min: 87, 50th: 90, 90th: 91, 99th: 95, max: 96
mean: 89.30, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 96
mean: 89.18, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 88.92, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 88.38, min: 86, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.05, min: 86, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 88.91, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.06, min: 86, 50th: 89, 90th: 90, 99th: 95, max: 95
mean: 89.05, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 98
mean: 89.17, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 98
mean: 89.61, min: 88, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 89.35, min: 88, 50th: 89, 90th: 91, 99th: 97, max: 97
mean: 89.31, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 97
mean: 89.07, min: 87, 50th: 88, 90th: 91, 99th: 98, max: 98
mean: 89.50, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 94
mean: 88.98, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 96
mean: 89.58, min: 87, 50th: 90, 90th: 91, 99th: 97, max: 104
mean: 88.73, min: 87, 50th: 88, 90th: 90, 99th: 98, max: 98
mean: 89.03, min: 85, 50th: 89, 90th: 90, 99th: 96, max: 98
mean: 88.82, min: 87, 50th: 88, 90th: 91, 99th: 98, max: 98
mean: 89.54, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 89.50, min: 87, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 89.19, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 97
mean: 89.24, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 97
mean: 89.05, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.45, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 89.55, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 89.00, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.99, min: 86, 50th: 89, 90th: 90, 99th: 96, max: 101
mean: 89.33, min: 87, 50th: 89, 90th: 91, 99th: 93, max: 95
mean: 89.35, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 98
mean: 88.97, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 96
mean: 88.93, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.48, min: 87, 50th: 90, 90th: 91, 99th: 96, max: 98
mean: 89.30, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 88.92, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.54, min: 87, 50th: 90, 90th: 91, 99th: 97, max: 97
mean: 89.04, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 97
mean: 89.69, min: 87, 50th: 89, 90th: 91, 99th: 98, max: 119
mean: 89.49, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 88.42, min: 86, 50th: 88, 90th: 89, 99th: 97, max: 97
mean: 88.66, min: 87, 50th: 88, 90th: 90, 99th: 97, max: 98
mean: 88.76, min: 87, 50th: 88, 90th: 91, 99th: 94, max: 96
mean: 88.69, min: 86, 50th: 88, 90th: 89, 99th: 97, max: 120
mean: 88.96, min: 86, 50th: 89, 90th: 90, 99th: 95, max: 97
mean: 88.93, min: 87, 50th: 89, 90th: 90, 99th: 91, max: 95
mean: 88.54, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.29, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 96
mean: 89.58, min: 87, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 88.93, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 89.52, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 96
mean: 89.42, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 98
mean: 89.51, min: 88, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 89.26, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.40, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 89.21, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 97
mean: 89.56, min: 88, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 88.98, min: 88, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.50, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 94
mean: 89.51, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 88.94, min: 88, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 89.20, min: 87, 50th: 88, 90th: 91, 99th: 94, max: 95
mean: 89.63, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 99
mean: 88.35, min: 85, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.38, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 88.79, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 89.52, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 95
mean: 88.95, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 88.46, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.32, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 97
mean: 88.89, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 94
mean: 89.11, min: 87, 50th: 88, 90th: 91, 99th: 95, max: 97
mean: 89.63, min: 86, 50th: 90, 90th: 91, 99th: 98, max: 99
mean: 88.98, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 97
mean: 88.42, min: 85, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.09, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.06, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 99
mean: 89.30, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 89.43, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 94
mean: 89.33, min: 88, 50th: 89, 90th: 91, 99th: 95, max: 95
mean: 89.30, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 88.99, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.38, min: 87, 50th: 88, 90th: 89, 99th: 97, max: 98
mean: 89.49, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 89.21, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 98
mean: 89.34, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 97
mean: 89.22, min: 87, 50th: 89, 90th: 90, 99th: 97, max: 99
mean: 88.79, min: 87, 50th: 88, 90th: 90, 99th: 96, max: 97
mean: 89.04, min: 87, 50th: 89, 90th: 90, 99th: 97, max: 97
mean: 89.56, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 94
mean: 89.18, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 88.94, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 88.88, min: 86, 50th: 89, 90th: 90, 99th: 95, max: 95
mean: 88.94, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 88.83, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 98
mean: 88.86, min: 86, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.44, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 89.46, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 88.43, min: 85, 50th: 88, 90th: 89, 99th: 95, max: 97
mean: 89.32, min: 86, 50th: 89, 90th: 91, 99th: 97, max: 100
mean: 89.60, min: 86, 50th: 89, 90th: 91, 99th: 99, max: 105
mean: 89.41, min: 87, 50th: 89, 90th: 91, 99th: 98, max: 101
mean: 88.98, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.65, min: 87, 50th: 90, 90th: 91, 99th: 95, max: 95
mean: 89.10, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 96
mean: 89.04, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 99
mean: 89.26, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 89.46, min: 86, 50th: 90, 90th: 91, 99th: 96, max: 98
mean: 89.14, min: 86, 50th: 89, 90th: 90, 99th: 97, max: 98
mean: 88.85, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 88.35, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 88.31, min: 86, 50th: 88, 90th: 89, 99th: 96, max: 98
mean: 89.21, min: 86, 50th: 88, 90th: 91, 99th: 98, max: 98
mean: 89.00, min: 88, 50th: 89, 90th: 90, 99th: 94, max: 97
mean: 89.48, min: 88, 50th: 90, 90th: 91, 99th: 95, max: 96
mean: 89.52, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 89.22, min: 88, 50th: 89, 90th: 91, 99th: 95, max: 97
mean: 88.93, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.44, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 97
mean: 89.29, min: 88, 50th: 89, 90th: 91, 99th: 95, max: 97
mean: 88.77, min: 87, 50th: 88, 90th: 90, 99th: 97, max: 97
mean: 89.12, min: 87, 50th: 89, 90th: 90, 99th: 98, max: 99
mean: 89.08, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 96
mean: 89.42, min: 87, 50th: 90, 90th: 91, 99th: 97, max: 97
mean: 88.92, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 97
mean: 89.12, min: 87, 50th: 89, 90th: 90, 99th: 98, max: 98
mean: 89.53, min: 86, 50th: 90, 90th: 91, 99th: 95, max: 97
mean: 89.05, min: 86, 50th: 88, 90th: 91, 99th: 97, max: 100
mean: 88.93, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 88.46, min: 86, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.31, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 89.06, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 95
mean: 89.40, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 99
mean: 88.36, min: 87, 50th: 88, 90th: 89, 99th: 95, max: 97
mean: 89.18, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 97
mean: 89.40, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 89.38, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 99
mean: 89.53, min: 88, 50th: 90, 90th: 91, 99th: 96, max: 96
mean: 88.52, min: 87, 50th: 88, 90th: 89, 99th: 97, max: 97
mean: 88.97, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 88.44, min: 86, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.60, min: 88, 50th: 89, 90th: 91, 99th: 98, max: 98
mean: 89.05, min: 86, 50th: 89, 90th: 90, 99th: 97, max: 98
mean: 89.38, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 102
mean: 89.51, min: 87, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 88.73, min: 87, 50th: 88, 90th: 91, 99th: 95, max: 96
mean: 89.21, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 89.18, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 98
mean: 89.38, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 95
mean: 89.07, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.25, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 97
mean: 89.30, min: 87, 50th: 89, 90th: 91, 99th: 100, max: 101
mean: 89.14, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 99
mean: 89.21, min: 88, 50th: 89, 90th: 91, 99th: 95, max: 97
mean: 89.12, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 98
mean: 88.87, min: 86, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 88.56, min: 87, 50th: 88, 90th: 90, 99th: 96, max: 97
mean: 88.97, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 94
mean: 89.40, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 95
mean: 88.33, min: 87, 50th: 88, 90th: 89, 99th: 97, max: 97
mean: 89.18, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 89.52, min: 87, 50th: 90, 90th: 91, 99th: 95, max: 95
mean: 89.04, min: 87, 50th: 89, 90th: 90, 99th: 97, max: 97
mean: 89.57, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 89.62, min: 87, 50th: 90, 90th: 91, 99th: 97, max: 97
mean: 88.99, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 97
mean: 88.91, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 95
mean: 89.50, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 99
